date,calories,protein_g,carbs_g,fat_g
2026-08-12,2180,168,214,78
2026-08-13,2050,123,161,101
2026-08-14,2080,153,167,89
2026-08-15,1230,64,118,57
2026-08-16,1410,106,136,51
2026-08-17,1670,88,146,81
2026-08-18,1720,92,171,76
2026-08-19,965,56,87,44
2026-08-20,2540,131,205,130
2026-08-21,2330,188,197,81
2026-08-22,859,86,97,17
2026-08-23,1499,170,145,34.5
2026-08-24,1710,194,105,55
2026-08-25,1430,179,70,48
2026-08-26,2985,139,105,131
2026-08-27,1975,171,121,108
2026-08-28,3490,253,278,162
2026-08-29,2200,158,191,90
2026-08-30,1745,211,67,69
2026-08-31,1795,182,176,49
2026-09-01,1653,172,177.6,34
2026-09-02,2030,190,155,58
2026-09-03,2261,241,185,68
2026-09-04,1718,164,135,62.5
2026-09-05,700,65,75,17
2026-09-06,1940,75,185,92
2026-09-07,970,33,147,23
2026-09-08,1728,209.7,83.7,63.5
2026-09-09,1947,244,155,56.8
2026-09-10,2100,130,171,121
2026-09-11,780,38,42,52
2026-09-12,2020,117,157,106
2026-09-13,1510,95,131,70
2026-09-14,2470,190,234,79.5
2026-09-15,2205,190,177,82
2026-09-16,2535,198,270,75
2026-09-17,2397,195,189,99
2026-09-18,3000,249,262,102
